Source Name,Type,Key Aesthetic/UI Feature
Awwwards Nominee 1,Web App / Website,Glassmorphism with caustics
Awwwards Nominee 2,Web App / Website,Custom cursor trails
Awwwards Nominee 3,Web App / Website,Immersive audio soundscapes
Awwwards Nominee 4,Web App / Website,Kinetic typography
Awwwards Nominee 5,Web App / Website,Custom scrollbar aesthetics
Awwwards Nominee 6,Web App / Website,Immersive audio soundscapes
Awwwards Nominee 7,Web App / Website,Immersive audio soundscapes
Awwwards Nominee 8,Web App / Website,Micro-interactions on hover
Awwwards Nominee 9,Web App / Website,Canvas-based particle systems
Awwwards Nominee 10,Web App / Website,WebGL fluid transitions
Awwwards Nominee 11,Web App / Website,Webgl water ripples
Awwwards Nominee 12,Web App / Website,Glassmorphism with caustics
Awwwards Nominee 13,Web App / Website,Ink-bleed reveal effects
Awwwards Nominee 14,Web App / Website,Interactive 3D storytelling
Awwwards Nominee 15,Web App / Website,Custom scrollbar aesthetics
Awwwards Nominee 16,Web App / Website,Kinetic typography
Awwwards Nominee 17,Web App / Website,Kinetic typography
Awwwards Nominee 18,Web App / Website,Smooth Locomotive scroll
Awwwards Nominee 19,Web App / Website,Magnetic button hover effects
Awwwards Nominee 20,Web App / Website,Ink-bleed reveal effects
Stripe Homepage,Web App / Website,Ink-bleed reveal effects
Apple Product Page,Web App / Website,Custom cursor trails
Bruno Simon Portfolio,Web App / Website,Custom scrollbar aesthetics
Three.js Journey,Web App / Website,Custom cursor trails
Active Theory,Web App / Website,Webgl water ripples
MediaMonks,Web App / Website,Parallax scrolling depth
Unit9,Web App / Website,Interactive WebGL globe
Resn,Web App / Website,WebGL fluid transitions
Dogstudio,Web App / Website,Smooth Locomotive scroll
Hello Monday,Web App / Website,Custom scrollbar aesthetics
Locomotive,Web App / Website,Interactive 3D storytelling
Build in Amsterdam,Web App / Website,Seamless page transitions
AKQA,Web App / Website,Smooth Locomotive scroll
B-Reel,Web App / Website,Ink-bleed reveal effects
Basic/Apple,Web App / Website,Glassmorphism with caustics
Cuberto,Web App / Website,Micro-interactions on hover
